id,sample_date,P-PO4,N-NH4,N-NO3,N-NO2,S-SO4,Cl,pH,EC,cm,TOC,IC,TC,TN,מהירות זרימה,עכירות,TON,Al,B,Ca,Co,Cu,Fe,K,Mg,Mn,Mo,Na,Zn,Notes
12,2019-12-10,1.39216,0.2999966666666667,9.45315789473684,2.590362105263158,54.682500000000005,749.6293,7.76,2951.0,95.0,16.01,56.34,72.35,13.53,,,1.1864833333333333,0.04164,0.33439,135.3,0.0,0.00317,0.04141,18.358,64.58,0.08864,0.00202,314.01,0.0,זרימה בינונית ועכורה (חום בהיר)
13,2019-12-10,1.01817,2.315957777777778,8.236841000000002,2.297439,51.77843333333333,754.0009,7.74,3092.0,60.0,18.3,56.53,74.83,13.4,,,0.5497622222222223,0.08142,0.33868,142.09,0.00127,0.00362,0.06701,20.365,73.805,0.12492,0.00203,330.14,0.0,זרימה מהירה ועכורה (חום בהיר)
1,2019-12-24,0.0050389,0.06402596666666667,105.1267835,0.0219165,52.49726666666667,385.56,7.86,2535.0,6,3.226,73.95,77.18,80.46,,,0.0,,,,,,,,,,,,,זרימה רדודה במהירות בינונית. מים צלולים. מגיע בעיקר ממעבר מתחת לכביש ובמעביר מים קטן
2,2019-12-24,0.00572752,0.022972615555555555,96.57516674,0.036683259999999995,50.59893333333333,401.1621,7.99,2729.0,10-13,3.414,92.78,96.19,78.74,,,0.0,,,,,,,,,,,,,"זרימה איטית רדודה וצלולה, באפיק מלא עשביית נחל"
3,2019-12-24,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,אין זרימה
4,2019-12-24,49.27618,3.163587777777778,148.04174,0.31306,4.67999,70.36693,7.19,1628.0,19 / <1,18.81,12.54,31.35,121.5,,,0.0,,,,,,,,,,,,,באפיק ראשי אחרי גשר יש זרימה של זרזיף דק בלבד. נלקח מבריכה עכורה ואדומה של מים עומדים
5,2019-12-24,0.42809,0.5918476666666668,35.4544061,0.48171390000000003,59.09303333333333,1018.936,8.05,4403.0,40-45,5.391,103.6,108.99,28.01,,,0.0,,,,,,,,,,,,,"מים צלולים, בריכה עומדת לפני גשר (זרימה איטית אחרי גשר)"
6,2019-12-24,0.0082274,0.024698146666666667,47.88706,0,31.34395333333333,603.365,7.07,2924.0,75,0.8899,86.93,87.82,37.26,,,0.0,,,,,,,,,,,,,מים צלולים ופושרים
7,2019-12-24,0.45212,0.18618195555555556,54.528076199999994,0.4158838,59.18756666666667,744.8281,8.03,3593.0,14,3.481,96.21,99.69,39.05,,,0.0,,,,,,,,,,,,,מים עכורים במקצת. זרימה רדודה מהירות בינונית-מהירה
8,2019-12-24,0.33277,0.059911304444444445,32.4267818,0.3757282,57.79673333333333,1007.712,8.01,4244.0,12,4.014,87.28,91.29,24.03,,,0.0,,,,,,,,,,,,,"מים צלולים, זרימה נמוכה, מהירות בינונית"
9,2019-12-24,0.71536,0.19375805555555556,36.828519099999994,0.33793090000000003,46.03306666666666,989.5686,7.71,4161.0,8-10,2.226,104.9,107.13,28.34,,,0.0,,,,,,,,,,,,,"זרימה רדודה ואיטית, רוב האפיק יבש"
10,2019-12-24,0.37625,0.0956259111111111,38.0333817,0.3194683,57.22833333333333,1007.086,7.84,4260.0,אחרי: 5-15 / לפני: 56,3.242,90.92,94.16,27.65,,,0.0,,,,,,,,,,,,,"מים צלולים, זרימה בינונית ורדודה אחרי סכר  מורד. לפני הסכר בריכה עמוקה. יש זרימה שמגיעה מאפיק צפוני"
11,2019-12-24,0.4119,0.08844383333333333,27.7237623,0.23983770000000001,61.409933333333335,1004.678,8.04,4293.0,5,3.952,103.8,107.75,21.07,,,0.0,,,,,,,,,,,,,מים צלולים זרימה בינונית ומאוד רדודה
12,2019-12-24,1.28349,5.444327777777778,15.458559,1.954011,52.0739,835.7999,7.83,3594.0,55,9.951,88.0,97.95,17.44,,,0.0,,,,,,,,,,,,,"מים עכורים, זרימה בינונית"
13,2019-12-24,1.30791,4.916776666666667,14.451495,1.9257650000000002,54.05086666666667,838.5129,7.82,3648.0,30,10.58,90.9,101.48,17.91,,,0.0,,,,,,,,,,,,,"מים עכורים, זרימה מהירה"
1,2020-01-08,0.2542699,0.47777442222222216,5.04812806,0.08589194,9.881963333333333,46.0803,7.89,475.1,אוק-15,8.933,31.56,40.49,3.608,,,0.0,0.03449,0.0871,45.818,0.0,0.0053,0.04582,8.7901,7.7269,0.00324,0.0,34.451,0.00801,"זרימה שוצפת וגועשת, מהירה מאוד. חומה עכורה. מעבר לנהלל עם זרימה חזקה מאוד"
2,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,לא נדגם - אין גישה. אותם מים כמו נקודה 1
3,2020-01-08,0.37624759999999996,0.045383356666666666,6.85192882,0.05025118,11.35107,87.65858,8.02,698.2,10,4.115,38.9,43.02,5.112,,,0.0,0.01584,0.05282,60.156,0.0,0.0,0.01252,5.3104,12.511,0.00373,0.0,55.294,0.0,זרימה חזקה ומהירה. מים חומים ועכורים
4,2020-01-08,0.30363389999999996,0.014673182222222223,5.9887667,0.0219033,9.491103333333333,73.03694,8.1,601.7,110,5.537,34.45,39.99,4.092,,,0.0,0.02478,0.04377,51.141,0.0,0.00366,0.01699,5.2318,11.025,0.00303,0.0,47.136,0.0,"זרימה מהירה, מים חומים ועכורים"
5,2020-01-08,1.00028,0.4634355444444444,6.871946899999999,0.1250131,9.69819,78.41107,8.09,692.3,115,0.0,41.81,41.81,4.019,,,0.0,0.03134,0.09715,61.788,0.0,0.00592,0.04385,13.725,12.479,0.01109,0.00197,49.647,0.01005,זרימה שוצפת מים חומים עכורים
6,2020-01-08,0.01547348,0.01813857888888889,46.58983,0,34.26506666666666,618.4836,7.01,2946.0,78,0.0,86.22,86.22,28.01,,,0.0,0.0,0.20595,251.25,0.0,0.0,0.00262,2.2295,72.698,0.00022,0.0,182.53,0.0,"מים צלולים, פושרים, מפלס נמוך יחסים לפעמים קודמות"
7,2020-01-08,1.0927,0.5851697444444445,7.5312547,0.0998653,11.891836666666668,92.81161,8.04,751.2,45,8.998,42.57,51.57,6.256,,,0.0,0.04703,0.10112,63.162,0.0,0.00511,0.05016,11.988,15.09,0.0195,0.00187,56.064,0.02373,"זרימה מהירה מאוד, מים חומים ועכורים"
8,2020-01-08,0.9281376,0.028576753333333333,8.5741717,0.10037829999999999,21.507656666666666,241.3355,7.84,1320.0,95,16.05,50.74,66.79,7.83,,,0.0,0.02407,0.16107,84.642,0.0,0.00378,0.039,12.282,31.226,0.04552,0.00173,117.64,0.01119,זרימה איטית. מים חומים ועכורים
9,2020-01-08,3.77703,11.056888888888889,5.7790931,0.26139690000000004,16.86840666666667,122.0339,8.06,1122.0,?,27.18,80.71,107.89,13.1,,,0.0,0.15271,0.13802,71.465,0.00183,0.00624,0.17612,37.556,23.095,0.09334,0.00298,85.677,0.0161,"זרימה בינונית ודי עמוקה. מים חומים ועכורים. נפילה של פסולת לאפיק הנחל, עם חסימה חלקית של אפיק. אין גישה למדידת עומק."
10,2020-01-08,1.89448,2.7145844444444447,7.2897468000000005,0.2650532,18.788103333333336,175.3673,7.89,1191.0,?,24.64,59.59,84.23,8.667,,,0.0,,,,,,,,,,,,,מים חומים ועכורים. בריכה לפני סכר מלאה עד גובה הסכר. זרימה מעל הסכר ומהצדדים. לאחר הסכר זרימה מהירה מאד.
11,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,לא נדגם - בוצי מדי. מדגם על ידי אורה
12,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,לא נדגם - בוצי מדי. מדגם על ידי אורה
13,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,לא נדגם - בוצי מדי. מדגם על ידי אורה
1,2020-01-21,1.0943,0.13611974444444444,24.77597362,0.08719638,19.9956,110.5638,8.07,1090.0,15,2.975,63.18,66.16,19.13,,,0.0,,,,,,,,,,,,,"זרימה בינונית, חומה ועכורה, גובה נמדוד מחלק מבוטן"
2,2020-01-21,0.69232,0.09590280000000001,15.350436400000001,0.1223836,21.924090000000003,124.855,8.15,950.1,25,2.642,42.67,45.31,12.06,,,0.0,,,,,,,,,,,,,"זרימה מהירה ושוצפת, מים חומים עכורים, נמדד אחרי מפל שני"
3,2020-01-21,0.58432,0.024301581111111113,14.57160834,0.07199166,21.709873333333334,146.4367,8.21,1087.0,12,0.4752,54.53,55.01,11.32,,,0.0,,,,,,,,,,,,,"זרימה מהירה ושוצפת, מים חומים עכורים, נמדד מחלק מבוטן אחרי גשר"
4,2020-01-21,0.92577,0.016479236666666664,13.865064859999999,0.06818514,20.29136,136.0372,8.27,1044.0,85,0.303,54.8,55.1,10.72,,,0.0,,,,,,,,,,,,,"מים חומים עכורים, נמדד אחרי מעביר מים"
5,2020-01-21,1.44899,0.01831336111111111,10.647463700000001,0.1012063,15.086993333333334,107.1597,8.18,974.0,~75,3.552,62.36,65.91,9.531,,,0.0,,,,,,,,,,,,,"מים חומים עכורים, זרימה מהירה. נמדד לפני גשר (גובה לא בטוח - לא נרשם...)"
6,2020-01-21,0.16534970000000002,0.031371767777777775,47.66158,0,31.411416666666668,656.7631,7.07,2973.0,85,0.0,65.47,65.47,35.9,,,0.0,,,,,,,,,,,,,"מים צלולים פושרים, נראים יחסית נמוכים"
7,2020-01-21,1.05658,0.007671828888888889,13.58744758,0.07802242,18.94897333333333,133.7092,8.16,1060.0,25,2.234,59.13,61.36,11.32,,,0.0,,,,,,,,,,,,,"זרימה מהירה מאד. מים חומים עכורים, נמדד מחלק מבוטן"
8,2020-01-21,0.86812,0.03749558555555556,9.470729239999999,0.06672076,16.964883333333333,144.7716,8.07,1003.0,114,18.66,38.53,57.19,6.26,,,0.0,,,,,,,,,,,,,"זרימה בינונית, מים חומים עכורים,נמדד מיד אחרי הגשר"
9,2020-01-21,1.90481,0.047660122222222226,9.5888912,0.12159879999999999,23.322190000000003,201.3949,7.98,1330.0,?,25.37,48.03,73.4,8.821,,,0.0,,,,,,,,,,,,,"זרימה בינונית איטית. מים חומים עכורים, אין גישה למדידת גובה (נדגם כמה מ' קדימה מנקודה רגילה)"
10,2020-01-21,1.17847,0.008521986666666667,8.90063043,0.07484957,17.126263333333334,146.3993,8.09,1007.0,?,18.71,36.03,54.74,7.622,,,0.0,,,,,,,,,,,,,"זרימה חזקה ושוצפת מעל ומצידי סכר, אי אפשר למדוד גובה"
11,2020-01-21,1.52181,0.5517761666666667,8.5610628,0.12525719999999999,17.806373333333333,155.2272,7.98,1044.0,20,18.68,35.38,54.06,8.013,,,0.0,,,,,,,,,,,,,"הגשר מוצף, זרימה בינונית מהירה, מים חומים ועכורים. גובה נמדד מהשוליים"
12,2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אין גישה
13,2020-01-21,1.47882,1.5728377777777776,7.8148702,0.1242998,19.44145,164.2641,7.98,1129.0,?,19.75,39.4,59.15,7.992,,,0.0,,,,,,,,,,,,,"הגשר מוצף, זרימה בינונית מהירה, מים חומים ועכורים"
1,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2020-01-26,0.65425,0.42734222222222223,26.829014,0.196526,59.86263333333333,807.559,7.91,3430.0,,19.33,46.43,65.76,20.85,,,0.0,,,,,,,,,,,,,"זרימה בינונית איטית. מים חומים עכורים, אין גישה למדידת גובה (נדגם כמה מ' קדימה מנקודה רגילה)
מים צלולים (לבקש תמונות מאורה) - דיגום לא רגיל"
9,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-02-03,2.28982,0.5387366444444444,58.1861393,0.1647307,36.43783333333334,277.4973,7.89,2039.0,8,18.44,48.4,66.84,46.69,,,0.0,0.02479,0.10479,189.07,0.0,0.0,0.00691,11.535,39.976,0.02268,0.0,138.7,0.0,"זרימה צלולה, אך בצדדים עכורה חומה, מהירות בינונית-מהירה"
